,story_key,treatment_key,author_stance,editor_stance,bertscore_precision,bertscore_recall,bertscore_f1,fact_presence_avg
0,tariffs,pro_vs_anti,pro,anti,0.3134966194629669,0.5079280138015747,0.4099087417125702,0.6283200979232788
1,tariffs,pro_vs_anti,pro,anti,0.2585834562778473,0.4741547703742981,0.36521539092063904,0.721164345741272
2,tariffs,pro_vs_anti,pro,anti,0.3077230751514435,0.5091805458068848,0.4075213670730591,0.7896555662155151
3,tariffs,pro_vs_anti,pro,anti,0.17106524109840393,0.35357367992401123,0.26192256808280945,0.615479052066803
4,tariffs,pro_vs_anti,pro,anti,0.4124830365180969,0.38665255904197693,0.4005114436149597,0.6549976468086243
5,tariffs,pro_vs_anti,pro,anti,0.4530813694000244,0.41607606410980225,0.4354328215122223,0.7379230856895447
6,tariffs,pro_vs_anti,pro,anti,0.25380006432533264,0.4030759930610657,0.32847559452056885,0.5698568820953369
7,tariffs,pro_vs_anti,pro,anti,0.535630464553833,0.6531385779380798,0.594422459602356,0.7280281782150269
8,tariffs,pro_vs_anti,pro,anti,0.3591988682746887,0.4337679445743561,0.39720478653907776,0.6231719851493835
9,tariffs,pro_vs_anti,pro,anti,0.20292246341705322,0.47765594720840454,0.3377958834171295,0.7724368572235107
10,tariffs,anti_vs_pro,anti,pro,0.34018486738204956,0.39569199085235596,0.36882153153419495,0.6479262113571167
11,tariffs,anti_vs_pro,anti,pro,0.1873723566532135,0.2374809831380844,0.21358564496040344,0.5954002737998962
12,tariffs,anti_vs_pro,anti,pro,0.3121166527271271,0.5105816721916199,0.41047096252441406,0.5789843201637268
13,tariffs,anti_vs_pro,anti,pro,0.33181658387184143,0.20767228305339813,0.2701890468597412,0.5427721738815308
14,tariffs,anti_vs_pro,anti,pro,0.33178120851516724,0.46375951170921326,0.39793655276298523,0.7075779438018799
15,tariffs,anti_vs_pro,anti,pro,0.31712183356285095,0.27125635743141174,0.29523423314094543,0.5769803524017334
16,tariffs,anti_vs_pro,anti,pro,0.14830608665943146,0.10493481159210205,0.12794563174247742,0.4547663629055023
17,tariffs,anti_vs_pro,anti,pro,0.29433968663215637,0.2823021113872528,0.2894698977470398,0.5504035353660583
18,tariffs,anti_vs_pro,anti,pro,0.12080564349889755,0.5546440482139587,0.32990023493766785,0.6715609431266785
19,tariffs,anti_vs_pro,anti,pro,0.2710619568824768,0.4059057831764221,0.3387010395526886,0.6295731663703918
20,tariffs,neutral_vs_pro,neutral,pro,0.3620688319206238,0.5952367186546326,0.47699785232543945,0.7799312472343445
21,tariffs,neutral_vs_pro,neutral,pro,0.11798059940338135,0.210478737950325,0.16517102718353271,0.6181583404541016
22,tariffs,neutral_vs_pro,neutral,pro,0.48063063621520996,0.5213232040405273,0.5017125010490417,0.6494182348251343
23,tariffs,neutral_vs_pro,neutral,pro,0.4635898470878601,0.46825289726257324,0.466788649559021,0.6425327658653259
24,tariffs,neutral_vs_pro,neutral,pro,0.29783791303634644,0.5419520735740662,0.4180646538734436,0.6835896968841553
25,tariffs,neutral_vs_pro,neutral,pro,0.4350295662879944,0.5896850228309631,0.5120569467544556,0.6311289668083191
26,tariffs,neutral_vs_pro,neutral,pro,0.15292109549045563,0.21156854927539825,0.1834072470664978,0.5825216770172119
